Teks Kebutuhan,Label
Saya butuh laptop untuk edit video dan desain grafis,desain
Main Valorant dan GTA V tanpa lag,gaming
"Laptop untuk bekerja, menggunakan Zoom dan Microsoft Excel",kantor
Laptop ringan untuk browsing dan mengetik,umum
Untuk main game berat seperti Cyberpunk dan Elden Ring,gaming
Laptop yang bagus untuk desain 3D dan animasi,desain
Digunakan untuk kerja kantoran dan presentasi,kantor
Butuh laptop untuk keperluan kuliah dan tugas-tugas biasa,umum
Render video di Adobe Premiere dan After Effects,desain
Main Dota 2 dan Valorant dengan lancar,gaming
Mengetik skripsi dan laporan harian,kantor
Untuk menonton film dan Netflix,umum
Laptop multitasking untuk desain dan coding,desain
Gaming laptop yang kuat dengan GPU bagus,gaming
"Kebutuhan pekerjaan kantoran, email, dan Excel",kantor
Laptop simpel untuk pelajar,umum
Laptop untuk keperluan arsitektur dan AutoCAD,desain
Main PUBG dan game FPS lainnya,gaming
Laptop stabil dan ringan untuk kerja,kantor
Digunakan untuk membaca ebook dan akses internet,umum
Desain UI/UX dan pakai Figma,desain
Untuk main game dan streaming,gaming
Laptop kantor yang baterainya tahan lama,kantor
Untuk menulis dan membuka YouTube,umum
Cocok untuk animasi dan desain grafis tingkat lanjut,desain
Laptop gaming dengan layar refresh rate tinggi,gaming
Digunakan untuk rapat online dan kerja remote,kantor
Laptop portable untuk browsing dan catatan,umum
Membuat desain arsitektur dan rendering 3D,desain
Main Apex Legends dan edit video ringan,gaming
